wind da,wind id,wind me,solar da ,solar id,solar me
9.499198875,4.934249091,3.522705069,48.21913459,72.38844004,65.46549808
8.849505647,5.66942827,3.49945289,31.04545948,40.65954265,35.96153364
7.707413342,6.777326195,2.80188753,10.74117087,13.30113878,11.25750904
6.71577631,6.237054985,3.511078979,0,0,0.033419947
6.007952636,6.982492477,5.897333815,0,0,0
5.043671109,6.517448904,7.216894955,0,0,0
3.775059596,4.609402478,6.298433897,0,0,0
2.762905936,4.305072492,3.932524718,0,0,0
2.383348314,6.007952636,3.348313729,0,0,0
2.40728438,4.701727305,3.615713783,0,0,0
4.759857751,4.4315917,3.37447243,0,0,0
5.009476728,3.935773184,4.484763961,0,0,0
4.486302708,4.83166595,5.397411974,0,0,0
3.894739927,5.272773457,5.522392434,0,0,0
3.398921412,5.536070186,6.597805698,0,0,0
2.875747391,4.517077651,6.278088241,0,0,0
2.420962132,4.882957521,5.932212083,0,0,0
2.07559889,4.452108328,9.309591035,0,0,0
1.877271484,4.599144164,7.498827621,0,0,0
1.778107781,5.638653328,5.545644613,3.236721837,3.715462574,3.749718019
2.102954394,4.284555864,5.542738091,21.42970532,24.21943537,27.70430031
2.393606628,4.014420259,4.827733596,38.57330248,40.50915289,65.15719907
2.345734495,3.484407363,2.014219977,48.50905263,50.76740553,96.59116544
2.701356051,2.544061902,1.461980734,48.35949837,51.94712964,108.8821863
3.911837118,2.803939193,1.438728555,38.8732465,79.32976297,72.45277344
7.697155028,3.713509711,1.273056782,25.44260542,45.66167317,41.30621862
10.91142678,4.527335965,1.261430693,9.603221683,15.80429279,13.20338544
12.04668021,4.305072492,1.441635078,0,0,0.030913451
13.08960882,4.790632694,2.002593888,0,0,0
14.9942358,4.513658213,2.063630857,0,0,0
17.38784243,5.454003673,2.389161358,0,0,0
20.17810387,6.021630388,3.316341983,0,0,0
23.78903044,11.77654461,5.85373598,0,0,0
28.14881394,14.72068076,8.472512603,0,0,0
28.49417719,18.82058697,13.07353746,0,0,0
35.95881043,21.96646997,12.42538298,0,0,0
44.59973035,27.92996991,24.79263551,0,0,0
52.07804135,35.24414788,31.74503693,0,0,0
58.86220642,50.95646567,43.2839306,0,0,0
65.24629724,59.17679472,52.17498241,0,0,0
70.90546719,69.63343624,64.02196745,0,0,0
75.77132752,76.66038141,78.82488569,0,0,0
81.16036187,83.94378444,79.42362929,0,0,0
85.55433976,90.19109774,94.83110419,2.510673495,2.471405058,0.853879638
85.49620931,100.7263863,99.89426609,14.5468673,14.96712313,7.459332102
84.92858259,108.1910196,103.9401452,26.17032476,24.17682494,17.27727694
88.60105905,118.0013873,116.8392913,31.74393637,31.13318684,22.5676545
94.15422643,129.029075,120.9810856,31.27772811,31.2852476,26.7718838
99.47487202,140.1012154,132.223514,26.06338093,19.77959545,25.45847989
108.8441322,153.5088319,138.1760717,16.99404289,14.74655148,13.67627769
123.869143,169.4297354,146.1661016,6.084936795,5.329645999,4.187519321
137.9572277,174.6033452,147.2182627,0,0,0.0626624
147.9625034,175.359041,160.652209,0,0,0
157.287311,180.1359959,162.0589658,0,0,0
167.5011724,186.4653757,168.4445953,0,0,0
178.8742233,198.9976162,170.0257435,0,0,0
191.1465864,215.7836375,176.1846643,0,0,0
202.5059596,220.8033725,171.2522959,0,0,0
221.3744187,216.8060495,169.8193804,0,0,0
226.9173278,212.6890461,183.6108289,0,0,0
229.9777248,218.8953261,188.5112255,0,0,0
232.9628942,231.4412443,195.3037682,0,0,0
234.0024034,237.3431943,203.4740025,0,0,0
232.0191293,234.8196491,211.016428,0,0,0
226.0932432,233.4518739,209.4701581,0,0,0
213.9747548,226.5343507,207.1914446,0,0,0
195.0173903,217.1821877,204.6017332,0,0,0
169.6349017,190.589218,199.2304799,1.397789271,1.350165846,0.164593237
139.4446833,192.2613232,169.4066542,7.757605127,8.179531954,7.884600924
108.6594826,173.4031224,146.8549474,16.15186024,15.12085488,21.10720283
85.00381023,141.4108601,107.6692133,24.05233564,23.60785035,40.1866504
74.63607409,114.8349877,88.21295283,27.9633049,30.80650686,60.35558823
76.02436594,99.09189495,74.34593478,29.51900342,47.50728973,45.46950848
74.56768533,86.19377467,80.15607292,24.04230965,36.09020044,30.39794802
67.35609051,92.24618,79.29283579,9.676745566,12.61853637,12.49571807
63.26986205,95.2758021,76.82519833,0,0,0.020887467
62.50732737,88.43008715,71.11097542,0,0,0
60.68476689,81.64250264,59.41222303,0,0,0
56.80370472,71.10721404,53.70381316,0,0,0
53.98950721,59.83674626,65.39675251,0,0,0
55.86335926,67.68093712,56.73240943,0,0,0
61.25581304,67.76642307,43.0630349,0,0,0
68.54263551,64.25124077,40.56342569,0,0,0
66.56961976,55.10766345,41.46154109,0,0,0
66.93891907,54.2493845,48.80050998,0,0,0
69.09316503,64.80177029,48.72784693,0,0,0
73.55553167,77.42633553,57.84270097,0,0,0
78.14099809,80.71583493,58.5635185,0,0,0
81.33133378,78.55475009,58.07522275,0,0,0
84.11817578,72.80667474,60.66202763,0,0,0
86.6998515,71.45257728,61.22298644,0,0,0
90.98098792,70.17712689,71.66030814,4.719731972,6.174335152,3.480687448
87.12044238,75.81236078,85.10006741,34.49189149,42.73074384,23.31291932
72.27666185,74.38303568,73.24145629,59.05053931,60.35308174,49.37797124
63.69045293,70.53274845,69.61120989,76.01116226,73.87813416,89.86957866
60.65741139,65.18816679,56.92133339,74.82224766,70.04235978,81.8830469
54.84436672,58.0962523,49.60271015,59.22432304,59.86849251,49.0304038
46.63771542,54.0339599,39.73506683,35.93062019,33.51352255,17.42014721
40.53743796,61.53620696,33.42500684,12.0971852,8.30736325,4.230965252
37.11458048,54.8785611,41.65918461,0.000835499,0,0.021722965
34.91246239,47.930263,39.99374731,0,0,0
34.53974364,45.90937512,37.29649459,0,0,0
35.68183595,38.46183907,40.51110829,0,0,0
36.86496151,35.47666966,37.19476631,0,0,0
38.32506155,42.31896518,31.38462816,0,0,0
37.96602056,40.95802884,29.07103638,0,0,0
44.53476103,36.48882332,27.83285787,0,0,0
40.49298527,25.76204619,19.28768221,0,0,0
33.72591739,16.60479112,16.02656415,0,0,0
25.2320333,14.04363203,11.20755012,0,0,0
19.18988628,17.11086795,9.934493337,0,0,0
17.86656376,15.41140725,6.658842667,0,0,0
19.64809098,17.06983469,5.502046778,0,0,0
25.93643753,16.42014147,3.310528938,0,0,0
34.50554926,18.92317011,9.457823674,0,0,0
38.68752198,22.50674118,14.4192573,1.865668524,1.475490647,1.305884417
39.57657587,37.15561374,22.24652194,9.430273459,7.074167217,8.749342045
40.16129978,44.48346946,28.61180585,17.53293953,11.57917603,20.83984326
42.13431553,51.96178045,31.3642825,23.04472424,14.88023127,20.68360501
44.61340811,54.77597796,35.50607683,23.99969922,15.04231801,21.89507808
48.06704053,55.27863535,54.42753722,21.55837211,17.85210003,17.38171428
54.0066044,70.060866,63.77491305,14.40149053,10.56822264,12.35535429
64.22046583,102.2719723,78.88592266,5.175914244,4.050497539,3.975302659
76.98864747,115.2521591,86.02143499,0.004177493,0.001670997,0.081043371
87.80774942,119.7623979,85.09716089,0,0,0
94.41068428,111.5796827,97.10400465,0,0,0
94.68423932,105.2639806,101.6672447,0,0,0
92.03759428,114.0827113,88.46291375,0,0,0
88.08130447,124.1461175,94.58404979,0,0,0
81.96734925,115.4060338,97.53126343,0,0,0
109.2305287,111.8498183,93.00871468,0,0,0
106.6556919,113.2175935,94.08703447,0,0,0
101.051233,102.9592794,83.65261929,0,0,0
93.69944117,89.74315135,86.70446774,0,0,0
87.17515339,96.75641877,77.05772011,0,0,0
78.28803392,97.71728086,73.38096936,0,0,0
67.58519286,85.83473367,72.34624741,0,0,0
57.15932627,72.76564149,67.22204854,0,0,0
48.1456876,58.195416,56.89808121,0,0,0
41.06061198,49.04841924,42.69390656,3.681207128,3.39212459,0.686779905
34.43374106,46.0153777,26.80685548,22.51334709,21.10469634,7.38580822
29.60549455,35.51086404,17.66874927,39.36535521,33.32971284,14.71730903
27.71454531,30.24492946,14.95696393,53.49029568,46.37769553,18.807075
26.45277268,25.27990543,14.92499218,57.88668967,51.44750144,22.67376284
23.26927586,20.40720622,15.27086834,52.65981001,25.42088245,22.02959336
