rival1_sea0_v0,rival1_sea1_v0,rival1_sea1_v1,rival1_sea2_v0,rival1_sea2_v1,rival1_sea3_v0,rival1_sea3_v1,rival2_sea0_v0,rival2_sea1_v0,rival2_sea2_v0,rival2_sea2_v1,rival2_sea3_v0,rival3_sea0_v0,rival3_sea1_v0,rival3_sea1_v0,rival3_sea2_v0,rival3_sea2_v1,rival3_sea3_v0,rival3_sea3_v1,rival4_sea0_v0,rival4_sea1_v0,rival4_sea1_v1,rival4_sea2_v0,rival4_sea2_v1,rival4_sea3_v0,rival5_sea0_v0,rival5_sea1_v0,rival5_sea1_v1,rival5_sea2_v0,rival5_sea2_v1,rival5_sea3_v0,rival5_sea3_v1
13.57771739,14.791875,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.61586957,20.94456522,17.51095238,29.03178571,24.6389011,14.65380435,16.12391304,16.12391304,17.46243243,26.76411765,16.70688525,22.48433333,16.37282609,17.51438596,13.05085714,18.61579545,21.32,19.03945055,21.65934783,30.06051282,51.91142857,24.61887324,39.757,27.2780597,44.61291667
13.57771739,14.791875,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.60684783,20.94456522,17.51095238,29.03178571,24.6389011,14.75967391,16.12391304,16.12391304,17.46243243,27.08823529,16.70688525,22.48466667,16.43347826,17.29929825,12.97371429,18.62761364,21.32,19.24747253,21.65934783,30.06051282,51.91142857,24.61887324,39.757,27.2780597,44.61291667
13.57771739,14.791875,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.60684783,20.94456522,17.51095238,29.03178571,24.6389011,14.75967391,16.12391304,16.12391304,17.46243243,27.08823529,16.70688525,22.48466667,16.47586957,17.14017544,12.96657143,18.70659091,22.07666667,19.42681319,21.65934783,30.06051282,51.91142857,24.61887324,39.757,27.2780597,44.61291667
13.57771739,14.791875,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.60684783,20.94456522,17.51095238,29.03178571,24.6389011,14.7573913,16.12391304,16.12391304,17.46243243,27.08823529,16.70688525,22.48466667,16.58065217,17.14,12.962,18.70465909,22.77333333,19.59318681,21.65934783,30.06051282,51.91142857,24.61887324,39.757,27.2780597,44.61291667
13.57771739,14.791875,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.60684783,20.94456522,17.51095238,29.03178571,24.6389011,14.78554348,16.12391304,16.12391304,17.46243243,27.08823529,16.70688525,22.48466667,16.80423913,17.13982456,12.96057143,18.68534091,22.77333333,19.85406593,21.65934783,30.06051282,51.91142857,24.61887324,39.757,27.2780597,44.61291667
13.57771739,14.791875,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.60684783,20.94456522,17.51095238,29.03178571,24.6389011,14.78554348,16.12391304,16.12391304,17.46243243,27.08823529,16.70688525,22.48466667,16.87304348,17.14,12.96028571,18.72590909,22.77333333,19.8143956,21.65934783,30.06051282,51.91142857,24.61887324,39.757,27.2780597,44.61291667
13.57771739,14.791875,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.60684783,20.94456522,17.51095238,29.03178571,24.6389011,14.78554348,16.12391304,16.12391304,17.46243243,27.24529412,16.70688525,22.52166667,16.81826087,17.10403509,12.95914286,18.52488636,21.32,19.3621978,21.65934783,30.06051282,51.91142857,24.61887324,39.757,27.2780597,44.61291667
13.57771739,14.791875,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.60684783,20.94456522,17.51095238,29.03178571,24.6389011,14.79206522,16.12391304,16.12391304,17.45297297,27.29764706,16.70688525,22.534,16.73434783,17.10403509,12.95914286,18.33625,20.49666667,18.79472527,21.65934783,30.06051282,51.91142857,24.61887324,39.757,27.2780597,44.61291667
13.57771739,14.791875,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.60684783,20.94456522,17.51095238,29.65428571,24.6389011,14.81445652,16.12391304,16.12391304,17.44324324,27.29764706,16.70688525,22.534,16.67434783,17.10403509,12.96114286,18.45397727,20.49666667,18.76065934,21.65934783,30.06051282,51.91142857,24.61887324,39.757,27.2780597,44.61291667
13.57771739,14.79025,27.4175,10.3822807,17.33735294,17.02065789,27.77,22.60684783,20.94456522,17.51095238,29.65428571,24.6389011,14.83228261,16.12391304,16.12391304,17.77837838,27.29764706,16.70688525,22.534,16.39326087,17.13333333,12.96257143,18.59420455,22.77333333,18.87318681,21.65934783,29.92705128,51.91142857,24.61887324,39.757,27.2780597,44.61291667
